panel,sample,Final_Taxonomy,response,response_value,predictor,predictor_value
Organic_P,R+P_0h,Pseudomonadales,phoA,28.4793665707971,NP,1.904998251
Organic_P,R+P_72h,Pseudomonadales,phoA,11.2962570524202,NP,5.579564059
Organic_P,C_0h,Diatom,phoA,816.305957919437,NP,5.1203567495
Organic_P,C_72h,Diatom,phoA,75.2228287381441,NP,24.5816051335
Organic_P,R_0h,Diatom,phoA,2088.86574085534,NP,44.020919165
Organic_P,R_72h,Diatom,phoA,256.939036659042,NP,16.7498758205
Organic_P,R+P_0h,Diatom,phoA,44.5951204741566,NP,1.904998251
Organic_P,R+P_72h,Diatom,phoA,7.02429319896683,NP,5.579564059
Organic_p_and_Phosphonate,C_0h,Dinoflagellates,acp5,327.16375526,PP,9.592692762
Organic_p_and_Phosphonate,C_0h,Dinoflagellates,pho_3,152.81001538,PP,9.592692762
Organic_p_and_Phosphonate,C_0h,Dinoflagellates,phoA,6.16499456,PP,9.592692762
Organic_p_and_Phosphonate,C_0h,Dinoflagellates,pepM,52.698420139999996,PP,9.592692762
Organic_p_and_Phosphonate,C_72h,Dinoflagellates,acp5,954.9355064400002,PP,4.04604498
Organic_p_and_Phosphonate,C_72h,Dinoflagellates,pho_3,346.66318617999997,PP,4.04604498
Organic_p_and_Phosphonate,C_72h,Dinoflagellates,phoA,117.6840153,PP,4.04604498
Organic_p_and_Phosphonate,C_72h,Dinoflagellates,pepM,87.66700734,PP,4.04604498
Organic_p_and_Phosphonate,R_0h,Dinoflagellates,acp5,70.80613524,PP,10.63690441
Organic_p_and_Phosphonate,R_0h,Dinoflagellates,pho_3,75.02815758000001,PP,10.63690441
Organic_p_and_Phosphonate,R_0h,Dinoflagellates,phoA,17.51759067,PP,10.63690441
Organic_p_and_Phosphonate,R_0h,Dinoflagellates,pepM,37.02493009,PP,10.63690441
Organic_p_and_Phosphonate,R_72h,Dinoflagellates,acp5,321.69771368,PP,8.144652817
Organic_p_and_Phosphonate,R_72h,Dinoflagellates,pho_3,123.40653992,PP,8.144652817
Organic_p_and_Phosphonate,R_72h,Dinoflagellates,phoA,3.75869039,PP,8.144652817
Organic_p_and_Phosphonate,R_72h,Dinoflagellates,pepM,33.1591322,PP,8.144652817
Organic_p_and_Phosphonate,R+P_0h,Dinoflagellates,acp5,58.877162569999996,PP,10.68546366
Organic_p_and_Phosphonate,R+P_0h,Dinoflagellates,pho_3,50.69534783,PP,10.68546366
Organic_p_and_Phosphonate,R+P_0h,Dinoflagellates,phoA,0.3099275,PP,10.68546366
Organic_p_and_Phosphonate,R+P_0h,Dinoflagellates,pepM,27.07017249,PP,10.68546366
Organic_p_and_Phosphonate,R+P_72h,Dinoflagellates,acp5,357.28271824999996,PP,7.070161366
Organic_p_and_Phosphonate,R+P_72h,Dinoflagellates,pho_3,154.7019331,PP,7.070161366
Organic_p_and_Phosphonate,R+P_72h,Dinoflagellates,phoA,6.47988783,PP,7.070161366
Organic_p_and_Phosphonate,R+P_72h,Dinoflagellates,pepM,52.32837688000001,PP,7.070161366
Phosphonate,C_0h,Rhodobacterales,phnC,12.7977567034295,PP,9.592692762
Phosphonate,C_72h,Rhodobacterales,phnC,6.14182906965348,PP,4.04604498
Phosphonate,R_0h,Rhodobacterales,phnC,17.1367284510756,PP,10.63690441
Phosphonate,R_72h,Rhodobacterales,phnC,4.29400382992499,PP,8.144652817
Phosphonate,R+P_0h,Rhodobacterales,phnC,18.375549241762702,PP,10.68546366
Phosphonate,R+P_72h,Rhodobacterales,phnC,4.55383579414408,PP,7.070161366
